,name,link,image,description,level_available,x_size,y_size
0,Fire Bush,https://mysingingmonsters.fandom.com/wiki/Fire_Bush,Fire_Bush.png,"While it may look delicious, eating Fire Bush leaves has dire effects, causing the consumer to produce eye-watering flatulence.",5,2,2
1,Travelers' Sign,https://mysingingmonsters.fandom.com/wiki/Travelers%27_Sign,Travelers_Sign.png,Beware! This sign likes to play switcheroo with its arrows. Where you're going all depends on where you are.,7,2,2
2,Saggle Tree,https://mysingingmonsters.fandom.com/wiki/Saggle_Tree,Saggle_Tree.png,"Monsters must be careful around the Saggle Trees. Their tasty nuts are too delicious-looking to resist, but they taste like rocks. Yuck!",8,2,2
3,Beeyoot Tree,https://mysingingmonsters.fandom.com/wiki/Beeyoot_Tree,Beeyoot_Tree.png,"Monsters should know better than to look directly at a Beeyoot Tree. When observed, the tree goes full-on supermodel, posing and contorting. Weird.",8,2,2
4,Smunkin Patch,https://mysingingmonsters.fandom.com/wiki/Smunkin_Patch,Smunkin_Patch.png,"What could be more comforting than cuddling with a ripe, orange Smunkin? Just don't let any Thumpies near; they like to carve out faces on them. What a strange thing to do.",11,2,2
5,Hollow Log,https://mysingingmonsters.fandom.com/wiki/Hollow_Log,Hollow_Log.png,It's a Hollow Log. Maybe something cool will move in.,12,2,4
6,Bloofi Tree,https://mysingingmonsters.fandom.com/wiki/Bloofi_Tree,Bloofi_Tree.png,"Don't look too closely at the Bloofi Tree. Its feathery leaves have been 'borrowed' for some unknown purpose, leaving embarrassing bald patches.",12,2,2
7,Razzli Tree,https://mysingingmonsters.fandom.com/wiki/Razzli_Tree,Razzli_Tree.png,"Razzli Trees attract lots of things; iridescent bugs, slithery slugs, and especially monsters. Up close, the tree is kind of boring, and all the creatures leave.",12,2,2
8,Fuzzle Tree,https://mysingingmonsters.fandom.com/wiki/Fuzzle_Tree,Fuzzle_Tree.png,The Fuzzle Tree loves it when monsters have long picnic lunches under its branches. Sometimes it grabs a snack from the basket when no one is looking.,13,2,2
9,Piney Tree,https://mysingingmonsters.fandom.com/wiki/Piney_Tree,Piney_Tree.png,"Monsters decorate Piney Trees every year for the Festival of Yay. Much to the tree's relief, monsters do not decorate well, and the objects fall off immediately.",13,2,2
10,Puffle Tree,https://mysingingmonsters.fandom.com/wiki/Puffle_Tree,Puffle_Tree.png,This tree has the highest accident rating of all the trees. Its feather-like foliage tickles anyone who attempts to climb it until they fall out laughing.,14,2,2
11,Castanevine,https://mysingingmonsters.fandom.com/wiki/Castanevine,Castanevine.png,"When a strong breeze blows, the Castanevine really comes to life. Monsters sometimes blow at the plant just to hear it play.",18,2,2
12,Yum Yum Tree,https://mysingingmonsters.fandom.com/wiki/Yum_Yum_Tree,Yum_Yum_Tree.png,"Yum Yum Trees jiggle delightfully when gently shaken. Caution is advised, however, as the globes break easily, drenching the shaker with a sap as sticky as bubblegum.",18,2,2
13,Crumpler Tree,https://mysingingmonsters.fandom.com/wiki/Crumpler_Tree,Crumpler_Tree.png,"Old timers say never to go near a Crumpler Tree at night or you will face the wrath of the Crumplings, invisible fairies that leave you covered with itchy bites. What do old timers know, anyhow?",19,2,2
14,Zuffle Tree,https://mysingingmonsters.fandom.com/wiki/Zuffle_Tree,Zuffle_Tree.png,Zuffle Trees bear delicious fruit that closely resembles the material pulled from a hairbrush. Those who consume it produce a melodic gacking sound.,20,2,2
15,Floofy Nest,https://mysingingmonsters.fandom.com/wiki/Floofy_Nest,Floofy_Nest.png,"Mischievous creatures, Floofies are sometimes mistaken for sock fluff. Have you ever seen sock fluff jump around like that?",24,3,3
16,Inverdigus Fern,https://mysingingmonsters.fandom.com/wiki/Inverdigus_Fern,Inverdigus_Fern.png,The spooky yet breathtaking Inverdigus plant is truly a sight to behold. Mostly because you can bet it is using its baleful eyestalks to behold you at the same time.,25,2,2
17,Mountain Morsel,https://mysingingmonsters.fandom.com/wiki/Mountain_Morsel,Mountain_Morsel.png,"This relic isn't from around these parts. After a few experimental licks, it was discovered it tastes like grape bubblegum. The visages carved into its surface occasionally emit a low hum when monsters aren't looking.",10,2,2
18,Tree Hut,https://mysingingmonsters.fandom.com/wiki/Tree_Hut,Tree_Hut.png,Some monsters like to haul their stuff around with them and need a place to put it for the day.,17,3,3
19,Barbloo Statue,https://mysingingmonsters.fandom.com/wiki/Barbloo_Statue,Barbloo_Statue.png,"This statue immortalizes the bravery with which its model saw something scary, pointed, and knelt in fear.",13,1,1
20,Thumpies Totem,https://mysingingmonsters.fandom.com/wiki/Thumpies_Totem,Thumpies_Totem.png,"Carved out of lumber harvested from the Great Tree of the Thumpieverse, this totem pays tribute to three famous Thumpies: KarrToof, RhooTz, and ChoMPh.",14,2,2
21,Babayag Tower,https://mysingingmonsters.fandom.com/wiki/Babayag_Tower,Babayag_Tower.png,"This tower would be more fun if it would just stand still and allow itself to be climbed! Still, it looks pretty.",15,2,2
22,Squeed Statue,https://mysingingmonsters.fandom.com/wiki/Squeed_Statue,Squeed_Statue.png,Everyone loves a Squeed!,16,1,1
23,Dragoon Statue,https://mysingingmonsters.fandom.com/wiki/Dragoon_Statue,Dragoon_Statue.png,The Dragoon was a harmless creature with a poor understanding of effective camouflage. Its resemblance to a bodiless claw made it such a prized collector's item that it rapidly became extinct.,16,1,1
24,Tree Forte Tower,https://mysingingmonsters.fandom.com/wiki/Tree_Forte_Tower,Tree_Forte_Tower.png,The umbrella roof makes this a great tower for rainy days.,17,2,2
25,Bass String Bridge,https://mysingingmonsters.fandom.com/wiki/Bass_String_Bridge,Bass_String_Bridge.png,"Who can resist the charm of an old bridge over a tinkling freshet, all in the shade of a drooping snuffle tree?",19,4,4
26,Cozee Cabin,https://mysingingmonsters.fandom.com/wiki/Cozee_Cabin,Cozee_Cabin.png,"It's nice to have a place to take a quick nap. The Cozee Cabin isn't nearly as comfy as the Castle, but it'll do in a pinch.",19,3,3
27,Miniature Island Complex,https://mysingingmonsters.fandom.com/wiki/Miniature_Island_Complex,Miniature_Island_Complex.png,"Originally constructed as a tribute to Colossals and Titans alike, this work of art now houses many small creatures. Combining the Fire and Magical Islands into a Miniature Island Complex has created a Utopia for these tiny beings to flourish. Whether it's looking through the windowed eyes, or taking a relaxing dip in the Sanctum Swimming Pool atop the structures, there is something for all these little critters to do - including some kind of invite-only shindig that Crumplings are always crashing.",15,2,2
28,Leafy Sea Dragon,https://mysingingmonsters.fandom.com/wiki/Leafy_Sea_Dragon,Leafy_Sea_Dragon.png,"Monsters generally agree that this is a ridiculous fantasy creature. Nonetheless, they still make wishes and toss their teeth in the fountain.",20,4,4
29,Tub Fountain,https://mysingingmonsters.fandom.com/wiki/Tub_Fountain,Tub_Fountain.png,"The grimacing figure in this sculpture is based on a figure from monster bedtime stories, who would bathe and clean misbehaving monsterlings until there was no more dirt and grime on them. What a terrible fate.",26,3,3
30,Stritch Skin,https://mysingingmonsters.fandom.com/wiki/Stritch_Skin,Stritch_Skin.png,What unfortunate creature gave up its hide for this device? None! This very-much-alive domesticated critter suspended itself from a frame and hangs there. No one knows why.,6,1,3
31,Flappy Flag,https://mysingingmonsters.fandom.com/wiki/Flappy_Flag,Flappy_Flag.png,Who doesn't love to let their flag fly? Even better if it flaps and snaps in the wind!,9,1,1
32,Toob,https://mysingingmonsters.fandom.com/wiki/Toob,Toob.png,"Not for the faint of heart, a Toob oozes fragrant black goo. Monsters delight in daring one another to give the wheel a spin!",10,2,3
33,Pipes of Cicado,https://mysingingmonsters.fandom.com/wiki/Pipes_of_Cicado,Pipes_of_Cicado.png,"The Pipes of Cicado have amazing summoning power. When they are blown, everyone comes from all around, no matter what they may have been doing.",10,2,3
34,Eerie Remains,https://mysingingmonsters.fandom.com/wiki/Eerie_Remains,Eerie_Remains.png,Monsters are known to plant flowers in and around Eerie Remains to show respect for the deceased.,14,2,2
35,Kab's Wax,https://mysingingmonsters.fandom.com/wiki/Kab%27s_Wax,Kabs_Wax.png,"The identity of the mysterious figure Kab has been hotly debated for eons - almost as hot as the bubbling wax held inside its famous buckets! The leading theory is that Kab is a time- and space-faring artisan that once proffered counsel to the Colossal of Amber Island. While in search of special capsules for Fire Monsters' essence, Kab's wax-sealed vessel design was chosen as the most viable. The entity's influence is felt even in the modern era, as the Fire Monsters of Fire Haven feel instinctually compelled to create art in the form of buckets and fill them with the wax of the island's many candles.",16,2,2
36,Digger,https://mysingingmonsters.fandom.com/wiki/Digger,Digger.png,This Digger looks like it's emerging from the earth. How exciting!,15,2,3
37,Fossil-osaurus,https://mysingingmonsters.fandom.com/wiki/Fossil-osaurus,Fossil-osaurus.png,"Curious monsters often sing to the Fossil-osaurus, hoping to wake it up. Little do they know it's just a fiberglass model from some long-ago time.",17,2,2
38,Odd-o-Mobile,https://mysingingmonsters.fandom.com/wiki/Odd-o-Mobile,Odd-o-Mobile.png,"Despite its eerie appearance, the Odd-o-Mobile outshines most other nearby objects by dangling beautiful baubles from its finger-like appendages. It spends most of its time burrowing underground, only popping up whenever Monsters are struggling to fall asleep and need to catch some Z's. Once surfaced, its colorful bric-o-brac helps lull them into a comfortable sleep. The Odd-o-Mobile prefers its subterranean dwellings since the sun would damage its light-sensitive skin - though it enjoys the company of Monsters above ground enough that it appears a little faded.",15,2,2
39,Bottomless Pit,https://mysingingmonsters.fandom.com/wiki/Bottomless_Pit,Bottomless_Pit.png,Monsters love to throw small objects into the bottomless pit. Sometimes an interesting sound or smell comes back up!,18,4,4
40,Optiglowbe,https://mysingingmonsters.fandom.com/wiki/Optiglowbe,Optiglowbe.png,"The existence of the Optiglowbe indicates that there are more varieties of Glowbe living in their home dimension than previously reckoned! This specimen appears to be more advanced than the others - some have speculated that it is related in some way to the critters of Psychic Island, and may even share their ability to surveil and record its surroundings.",10,2,2
41,Wubbox Stockpile,https://mysingingmonsters.fandom.com/wiki/Wubbox_Stockpile,Wubbox_Stockpile.png,"Because the Wubbox is part machine, it sometimes needs to replace the pieces of its body that have been worn down by the electric energy coursing through it. Other monsters have taken it upon themselves to set up tarpaulin lean-to's to protect the Wubbox's spare parts. Mysteriously, the markings painted on the tarp appear all by themselves.",20,2,2
42,Jarhead,https://mysingingmonsters.fandom.com/wiki/Jarhead,Jarhead.png,"It can take a while to get used to the Jarhead. But the monsters keep it around because despite its fearsome appearance, it has a gentle heart. Even though they're pretty sure that it only has a brain.",21,2,2
43,Englobulated F.U.M.,https://mysingingmonsters.fandom.com/wiki/Englobulated_F.U.M.,Englobulated_F.U.M..png,"This creature, or ""Fortuitously Unidentified Monster"", has been right under our noses for... who knows how long! It is rumored that Dr. Wardin Spurrit spent an extensive amount of time trying to learn more about this apparently one-of-a-kind specimen, claiming to have witnessed its silhouette multiple times while studying the Rift, but it was near impossible to track due to its tendency of being able to ""hop"" between the endless alternate dimensions of which encircle the Monster World. However, the effort was revitalized quite recently, and after a fortuitous encounter - the details of which we've been told shall remain murky, miry even - we’ve been able to study it and learn about its cryptic nature. It is assuredly highly intelligent, deeming itself ""a Monster, of course"" but one that is “too sophisticated to sing”, despite our campaigns of encouragement. It has stated that it prefers to be kept in dormancy inside this mechanism, so it can ""ponder and think to itself"". According to data collected vis-à-vis brainwaves, exactly what it mulls over 24/7 is ""beyond your comprehension and none of your Humbugswax"".",24,3,3
44,Meldablend,https://mysingingmonsters.fandom.com/wiki/Meldablend,Meldablend.png,Two very different objects seem to have materialized in the same place!,5,1,1
45,Trumplite,https://mysingingmonsters.fandom.com/wiki/Trumplite,Trumplite.png,"Many monsters find the dark pretty scary. They'll never need to turn this light on, but it's comforting to have it around.",11,1,1
46,Harpsitree,https://mysingingmonsters.fandom.com/wiki/Harpsitree,Harpsitree.png,The Harpsitree plays hauntingly beautiful melodies to anyone nearby. You'll often see a Monster quivering its lower lip or gushing fat tears as it listens to a particularly moving passage.,14,3,3
47,Guitree,https://mysingingmonsters.fandom.com/wiki/Guitree,Guitree.png,"When an unwary monster trips over the strings of a Guitree, the most delightful sights and sounds are produced.",16,2,4
48,Reflecting Pool,https://mysingingmonsters.fandom.com/wiki/Reflecting_Pool,Reflecting_Pool.png,Legend has it that an ancient monster created this reflecting pool to see if it had any spots on its back. Time has worn away the stone details and vines have grown around it. We still don't know about the spots.,6,1,1
49,Wild Bagpipe,https://mysingingmonsters.fandom.com/wiki/Wild_Bagpipe,Wild_Bagpipe.png,Someone has captured the elusive wild bagpipe! It's been partially buried to prevent escape.,7,1,2
50,Phoni-Mine,https://mysingingmonsters.fandom.com/wiki/Phoni-Mine,Phoni-Mine.png,"Look! You can place an additional Mini-Mine on your islands now!... Wait, this is just a recreation of the cardboard constructable standee from My Singing Monsters: The Board Game? And there's a Furcorn popping out, recalling part of the scene from the accompanying art print? Well... alright then.",8,2,2
51,Cave Crystal Teleporter,https://mysingingmonsters.fandom.com/wiki/Cave_Crystal_Teleporter,Cave_Crystal_Teleporter.png,"This Teleporter's unstable portal appears to connect this world to the alternate dimension of Cave Crystal Island, where an enigmatic creature called the Connatruna dwells. The island occasionally flickers in and out of view - perhaps at the whims of the magical gem that floats above it - so take care as you're stepping through that you don't actually teleport yourself somewhere else!",10,3,3
52,Directions to Nowhere,https://mysingingmonsters.fandom.com/wiki/Directions_to_Nowhere,Directions_to_Nowhere.png,"Monsters love to interpret the mysterious meaning of this symbol. None of them can agree on a single way to read it, however, and the purpose is entirely unknown.",9,2,2
53,Spurrit Statue,https://mysingingmonsters.fandom.com/wiki/Spurrit_Statue,Spurrit_Statue.png,"A real Spurrit has not been spotted for a very long time. In fact, no one has ever seen one... or have they?",15,2,2
54,Harmonorb Holder,https://mysingingmonsters.fandom.com/wiki/Harmonorb_Holder,Harmonorb_Holder.png,"The Harmonorb is an odd object. Randomly found one day, the Monsters don't know what it is, but Monsters near it have felt more musically inspired than ever! So a replica has been made of it as well as a replica of the holder the Monsters made to, well, hold it. This replica has all the engraved, pretty patterns, and bits 'n' bobs the original holder had! The original orb and holder has influenced monster culture for generations. Just one thing -  where did this strange sphere come from? (It couldn't have come from the hooman world though, that's just a silly conspiracy theory!)",18,1,1
55,Orb of Aklino,https://mysingingmonsters.fandom.com/wiki/Orb_of_Aklino,Orb_of_Aklino.png,"What is this? Is it one of Wublin Island's numerous batteries? Is it an updated model for Galvana's staff? A Dyson Sphere? A Van de Graaff Generator? Or is it simply a cluttered agglomeration of different parts from a low budget sci-fi movie? Probably the latter, but it still looks cool!",20,2,2
56,Macho Monument,https://mysingingmonsters.fandom.com/wiki/Macho_Monument,Macho_Monument.png,"Gaze upon the majesty of the Macho Monument! This statue (named Steve) depicts a strongmon (NOT named Steve) and showcases what diligent training can accomplish. Some allege that the monument is actually an early draft of the Wubbox that never progressed any further. Either way - allow this fitness tribute to spark inspiration in your heart, so that, one day, you can be a Macho Mon too!",23,2,2
57,Shrini,https://mysingingmonsters.fandom.com/wiki/Shrini,Shrini.png,"The Mini-Shrine, or 'Shrini' for short, is an august creation of unknown origin which has the power to grant Monsters a vacation to the destination of their choosing. The opportunity doesn't come without some effort, though - a Monster must first collect tufts of the Sweetstreamz Tree, along with a special item that hints at where it wants to vacation. Then, it must deposit them in the bowl of the Shrini, strike the gong with the mallet, and POOF!… the Monster will dematerialize and travel to their vacation spot.",17,2,3
58,Spirit of Creation,https://mysingingmonsters.fandom.com/wiki/Spirit_of_Creation,Spirit_of_Creation.png,"When Colossals are engaged in an act of creativity, they often describe the experience among themselves as being guided by a 'spirit of creation.'  Depicted in ancient artworks as a kindly old being attuned to the power of nature, the spirit would whisper ideas and inspirations to its creator companion, and otherwise provide a backing track of gentle humming to which one could work. It was actually this piece of imagery that inspired the Colossals to imagine themselves as the guardians of the various islands of the Monster World, long before the cataclysm that ended the Dawn of Fire brought it about as reality.",15,3,3
59,Dragon Tower,https://mysingingmonsters.fandom.com/wiki/Dragon_Tower,Dragon_Tower.png,"Made from old dragon parts the monsters had laying around, this tower isn't very practical, but it looks great!",20,2,2
60,Ambered Thing,https://mysingingmonsters.fandom.com/wiki/Ambered_Thing,Ambered_Thing.png,"Hailing from the shard mountains of another dimension of the multiverse, this interesting specimen has been encased in amber. It answers to ""Flutter,"" but the monsters usually just call it a thing.",22,2,2
61,'Cannon Chaos' Contraption,https://mysingingmonsters.fandom.com/wiki/%27Cannon_Chaos%27_Contraption,Cannon_Chaos_Contraption.png,"This Decoration is a scale model of one of the cannons and cannonballs from the 'Cannon Chaos' game, which can be found inside the virtual world of the Playground inside of a Wubbox. Because it's powered by Electricity, maybe the Playground can connect digitally to other dimensions of the multiverse; we wonder if this activity was inspired by a visit to Toppelopolis?",10,2,2
62,'Blast Off' Launchpad,https://mysingingmonsters.fandom.com/wiki/%27Blast_Off%27_Launchpad,Blast_Off_Launchpad.png,"This Decoration is a scale model of one of the rockets and launchpads from the 'Blast Off' game, which can be found inside the virtual world of the Playground inside of a Wubbox. Get ready for liftoff... oh dear, not enough energy. Maybe some other time. Up, Up and Away!",11,2,2
63,'Monster Rally' Racetrack,https://mysingingmonsters.fandom.com/wiki/%27Monster_Rally%27_Racetrack,Monster_Rally_Racetrack.png,"This Decoration is a scale model of one of the racetracks from the 'Monster Rally' game, which can be found inside the virtual world of the Playground inside of a Wubbox. On your marks... get set... GO! Wow, a photo finish! Pure Skill!",Level ?,3,3
64,Wub Hub Edifice,https://mysingingmonsters.fandom.com/wiki/Wub_Hub_Edifice,Wub_Hub_Edifice.png,"The Hub world of the Playground (or as it's coloquially referred to, the 'Wub Hub') is full of whimsical edifices like this one. The architectural styles of these buildings are inspired by designs from across the Monster World, but motifs and patterns from the archaic Starhenge seem to abound - unsurprising when you consider who designed the Wubbox...",Level ?,3,3
65,Fandemonium Stage Maquette,https://mysingingmonsters.fandom.com/wiki/Fandemonium_Stage_Maquette,Fandemonium_Stage_Maquette.png,"This scale model of the special stage commemorates 8 amazing episodes of My Singing Monsters: Fandemonium! It's a balanced combination of Monster ingenuity and 'hooman' technology, perfect for broadcasting from the Monster World right into the comfort of your home!",9,4,4
66,Great Tree Bawnzi,https://mysingingmonsters.fandom.com/wiki/Great_Tree_Bawnzi,Great_Tree_Bawnzi.png,"This Bawnzi is a scaled-down version of the Great Tree that resides in the Thumpieverse. Several artistic interpretations of this arboreal landmark have existed throughout the years, with this latest iteration understood to be the most accurate representation. The sigils of the various Thumpie songs festoon the length of its meandering trunk, and there's even a replica of the little wooden door through which Thumpies access its hollow interior. It's thanks to the Magic of the Trees that binds the various dimensions of the Stablo Mjehurica, the World Tree, that contact between the Monster World and the Thumpieverse is even possible in the first place.",15,2,2
67,Spooktacle Smunkin Patch,https://mysingingmonsters.fandom.com/wiki/Spooktacle_Smunkin_Patch,Spooktacle_Smunkin_Patch.png,"Looks like no one heeded our advice and let Thumpies free in the Smunkin Patch. Just as we feared, they carved out faces on them. Strange.",9,2,2
68,Spooktacle Travelers' Sign,https://mysingingmonsters.fandom.com/wiki/Spooktacle_Travelers%27_Sign,Spooktacle_Travelers_Sign.png,Beware! This sign has gotten into the spirit of the season - you never know quite whether you're going to get a trick or a treat.,9,2,2
69,Creepy Cauldron,https://mysingingmonsters.fandom.com/wiki/Creepy_Cauldron,Creepy_Cauldron.png,"This Spooktacular item is perfect for brewing potent potions and mysterious mixtures. We thought that those were bundles of wheat behind it - but maybe they're the shed silks of the Rare Oaktopus? It is a mad scientist, after all.",9,2,2
70,Frightful Fripperies,https://mysingingmonsters.fandom.com/wiki/Frightful_Fripperies,Frightful_Fripperies.png,"A chilling collection of eerie artifacts from the Spooktacle season. That skull bears a striking resembance to the Mythical Jarhead, a fearsome-looking entity that Monsters still aren't sure whether or not they dreamed up.",9,2,2
71,Smunk-o-Lantern Patch,https://mysingingmonsters.fandom.com/wiki/Smunk-o-Lantern_Patch,Smunk-o-Lantern_Patch.png,"Around the Spooktacle season, Monsters love to hollow out Smunkins and carve expressive faces into them, transforming them into Smunk-o-Lanterns. It is imperative that Monsters double check they aren't trying to pull up a sleeping Punkleton from the ground.",9,2,2
