,name,link,islands,likes/polarity,bio,size,beds,level_available,first_discovered,release_year,inventory,time_limit,breeding_combos
43,Drumpler,https://mysingingmonsters.fandom.com/wiki/Drumpler,Plant&Air&Earth&Colossingum&Gold&Faerie&Tribal&Composer&,All:Noggin&All:Eerie Remains&All:Stritch Skin&All:Smunkin Patch&,"One would not expect the progeny of Earth and Cold to be an elastic creature, but the Drumpler is exactly that. Its tough abdominal hide can be stretched taut to produce sound, yet the Drumpler experiences no discomfort whatsoever.",2,2,7,The Handler-Helper Community,2012,,0,All:Noggin*Mammott&
44,Maw,https://mysingingmonsters.fandom.com/wiki/Maw,Plant&Cold&Air&Colossingum&Gold&Oasis&Tribal&Composer&,Plant Island:Pummel&Cold Island:Pango&Air Island:Pango&Fire Oasis:Pango&All:Wild Bagpipe&All:Pipes of Cicado&All:Dragoon Statue&,"The eyeless Maw is a refined combination of Cold and Water elements. Its dense fur acts as a general sensory organ, and provides efficient insulation to maintain a liquid body interior. Maws are a little mouthy. Tonguey too.",2,2,7,The Handler-Helper Community,2012,,0,All:Toe Jammer*Mammott&
45,Epic Reedling,https://mysingingmonsters.fandom.com/wiki/Epic_Reedling,Water&Earth&Gold&Haven&,All:Mi&All:Innertuba&All:Reflecting Pool&All:Spatial Sapling&,"Reedlings have a hard time controlling their body temperature. So what's a Monster to do when it inhabits both stifling heat and chilly depths? In true Reedling fashion, you evolve special organs, of course! Epic Reedlings harness the air expelled from their rogue toots with special chitinous carapaces and cable-like tubing that channel it into hot or cool air that circulates across its body.",2,3,9,onion...,2019,,0,
46,Epic Spunge,https://mysingingmonsters.fandom.com/wiki/Epic_Spunge,Cold&Water&Gold&,All:Sol&All:PU System&All:Dragoon Statue&All:Cold Globe&,"Sweeter (and more stylish) than your run-of-the-mill sea cucumber is the sea spineapple, an aquatic plant emulated by the Epic Spunge. This clever Monster's camouflage extends beyond its dual spineapple stems to its gelatinous body itself, which can morph into a translucent state. The effectiveness of the survival tactic is debatable at best, as Epic Spunge's stout skeleton remains visible within.",3,3,9,Chris (#3),2019,,0,
47,Epic Thumpies,https://mysingingmonsters.fandom.com/wiki/Epic_Thumpies,Cold&Earth&Gold&,"All:La&All:Bingo Bango Bongos&All:Thumpies Totem, Too&All:Fire Bush&","You know FurFacE and NoObiE, RawT and ReeCEsS... but do you recall the bounciest Thumpies of all? RhooTz and iziT the Epic Thumpies are more feisty furballs from the Thumpies clan that have drifted from their home dimension into the Monster World. The horned and horticultural pair share a misshapen eye for design and aesthetics, decorating their percussive stump with an ornate tarp that the nearby wildlife find uniquely inviting.",2,3,9,ehsweep,2018,,0,
48,Epic Scups,https://mysingingmonsters.fandom.com/wiki/Epic_Scups,Air&Water&Gold&,"All:Ti&All:Freed Thing&All:Stritch Skin&All:Thumpies Totem, Too&","After emerging from its amber encasement, Flutter the Freed Thing laid eyes on a Common Scups and immediately felt a suction-cupped kinship. Flutter led a handful of chosen Scups on a journey into its native realm of Thingia, home of all Things. Immersed in a whimsical world of stickiness, these Scups soon morphed into Flutter-like Epics - a testament to their second home!",2,3,9,Banana,2019,,0,
49,Epic PomPom,https://mysingingmonsters.fandom.com/wiki/Epic_PomPom,Air&Earth&Shugabush&Gold&,Air Island:Rare Cybop&Earth Island:Rare Cybop&Shugabush Island:Shugabass&All:Sweetstreamz Tree&All:PU System&All:Hammock&,"PomPoms eat red food, Rare PomPoms eat indigo food, and Epic PomPoms eat... EVERYTHING! When a group of Commons discovered a shared passion for the culinary arts, their varied and vibrant new diet produced a long list of enviable features. Increased vitamin intake has made the pelt of the Epic PomPom luxuriously fluffy and reverted it to its original white hue. Unexpected side effects include incredible cranial growths and blindingly bright stripes in every shade.",2,3,9,ragestorm435,2018,,0,
50,Rare Reedling,https://mysingingmonsters.fandom.com/wiki/Rare_Reedling,Water&Earth&Gold&Haven&,All:Reedling&All:Fossil-osaurus&All:Guitree&All:Zuffle Tree&,"Stubby horns and buckteeth aside, Rare Reedlings are mostly known for their impatience and not being the greatest listeners. Of course, that may have something to do with the fact that they have an extra set of breathing spines in place of ears. To communicate with it, this stubborn subspecies insists that other Monsters pipe musical messages directly into its ear-spines, believing that if something is worth saying, it's worth taking the time to translate.",2,3,9,Rainbow painter,2015,,0,
51,Rare Spunge,https://mysingingmonsters.fandom.com/wiki/Rare_Spunge,Cold&Water&Gold&,All:Spunge&All:Beeyoot Tree&All:Tree Hut&All:Smunkin Patch&,"There's more to the Rare Spunge than meets the eye: it is a full-scale mutation of the regular Monster, recognizable by its superfluous eye, limbs and leaf sprig. In lieu of fresh clean Water, it emits a viscous ooze at passersby which, if they're unlucky enough to get some in their mouth, is absolutely revolting in flavor. In an unusual twist of fate, the Rare Spunge suffers from dry eyes, and must hydrate them by being especially blinky.",3,3,9,1006.bg,2014,,0,
52,Rare Thumpies,https://mysingingmonsters.fandom.com/wiki/Rare_Thumpies,Cold&Earth&Gold&,All:Thumpies&All:Puffle Tree&All:Directions to Nowhere&All:Bass String Bridge&,"While these varieties of Thumpies can be found in some abundance in their home dimension, they very rarely cross over into the Monster World. The more familiar FurFacE and NoObiE subspecies are instead replaced by RawT and ReeCEsS, but all share a love for music and mischief!",2,3,9,Emmsid,2014,,0,
53,Rare Scups,https://mysingingmonsters.fandom.com/wiki/Rare_Scups,Air&Water&Gold&,All:Scups&All:Eerie Remains&All:Bass String Bridge&All:Tree Hut&,"The Rare Scups' bioluminescent spurs are perfectly suited to its predominantly noctural [sic] lifestyle. Sure, it performs along nonchalantly during the day, but it's total mystery what it does after the sun sets. Every once in a while, a company of ambitious Monsters will resolve to stay up long enough to witness a Rare Scups in nighttime action, but the siren song of the Castle's beds always proves too much to resist.",2,3,7,Olivia and dad,2015,,0,
54,Rare PomPom,https://mysingingmonsters.fandom.com/wiki/Rare_PomPom,Air&Earth&Shugabush&Gold&,All:PomPom&All:Beeyoot Tree&All:Dragon Tower&All:Guitree&,"There's no greater living proof that 'You are what you eat' than the Rare PomPom. Although sometimes confused for a separate Monster entirely, like the Hoola, this Rare is actually just a Common PomPom on a diet consisting entirely of indigo foods! The change isn't just reflected in its appearance, though - Rare PomPoms develop a heightened fashion sense, and coif their plumes in radical styles - with some blue highlights for good measure.",2,3,7,andrea.salmaso,2014,,0,
55,Reedling,https://mysingingmonsters.fandom.com/wiki/Reedling,Water&Earth&Colossingum&Gold&Haven&Tribal&Composer&,All:Potbelly&All:Shrubb&All:Beeyoot Tree&All:Pipes of Cicado&All:Squeed Statue&,"Reedlings live and breathe music - literally. Somewhere in their evolution they forgot how to breathe through mouths and noses, so they developed flute-like breathing spines. Reedlings sometimes release the odd toot in their sleep.",2,3,9,The Handler-Helper Community,2012,,0,
56,Spunge,https://mysingingmonsters.fandom.com/wiki/Spunge,Cold&Water&Colossingum&Gold&Tribal&Composer&,All:Dandidoo&All:Stritch Skin&All:Barbloo Statue&All:Bloofi Tree&,"The Spunge's Plant body is filled with inflatable chambers that can be filled with Air or Water. While singing, it uses Air to produce a pure whistling sound, but this Monster loves to aim and shoot a powerful jet of water at unsuspecting passersby.",3,3,9,The Handler-Helper Community,2012,,0,
57,Thumpies,https://mysingingmonsters.fandom.com/wiki/Thumpies,Cold&Earth&Colossingum&Gold&Tribal&Composer&,All:Furcorn&Cold Island:Oaktopus&All:Cozee Cabin&All:Fuzzle Tree&All:Dragoon Statue&,"Thumpies are well-adapted to inter-dimensional travel, and can be found throughout the multiverse. In fact, they even have their own game (now remastered and better than ever)!",2,3,9,The Handler-Helper Community,2012,,0,
58,Scups,https://mysingingmonsters.fandom.com/wiki/Scups,Air&Water&Colossingum&Gold&Tribal&Composer&,All:Quibble&All:Harpsitree&All:Castanevine&All:Dragon Tower&,"Versatile Scups can readily adhere to most any surface when the need arises. Generally, it prefers to remain on the Earth, as its Water-filled body is quite heavy. The Scups' remarkable feet use Air to produce a call that can travel vast distances.",2,3,7,The Handler-Helper Community,2012,,0,
59,PomPom,https://mysingingmonsters.fandom.com/wiki/PomPom,Air&Earth&Shugabush&Colossingum&Gold&Tribal&Composer&,Air Island:Fwog&Earth Island:Dandidoo&Shugabush Island:Shugarock&All:Directions to Nowhere&All:Bottomless Pit&All:Toob&,"The PomPom grows brilliant pink plumes by eating only foods that are red. The pelt may grow to be very long. While dancing and emitting its strident cry, the PomPom is an arresting sight.",2,3,7,The Handler-Helper Community,2012,,0,
60,Epic Congle,https://mysingingmonsters.fandom.com/wiki/Epic_Congle,Cold&Air&Gold&Oasis&,All:Pango&All:Reflecting Pool&All:Bingo Bango Bongos&All:Elmenco Stump&,"When a Common Congle's Egg forms in just the right shape, its acoustics cause every sound and song to bounce around the walls of its shell. Hearing the surrounding cacophony, the burgeoning Monster begins to grow out in all directions, sprouting spindly legs before hatching as an Epic! Epic Congles are typically the silent type, only producing sound with their iconic instruments and the click-clack of their new set of legs.",2,3,7,ehsweep,2019,,0,
61,Epic Pummel,https://mysingingmonsters.fandom.com/wiki/Epic_Pummel,Plant&Water&Gold&,"All:La&All:Bingo Bango Bongos&All:Digger&All:Thumpies Totem, Too&","Epic Pummel's wide set eyes are each able to focus on separate pages of its favorite book, allowing this bookworm to read in record time! Tragically, the information they take in is rarely retained thanks to their broad heads carrying more water than brains. How do you even wear bonnets with that kind of head, anyway!? Nonetheless, their well-read nature does grant them with an impressive vocabulary.",2,3,9,brab,2019,,0,
62,Epic Clamble,https://mysingingmonsters.fandom.com/wiki/Epic_Clamble,Plant&Earth&Gold&,All:Do&All:Ockulo Tree&All:Travelers' Sign&All:Cold Globe&,"Epic Clambles have the sinister countenance of a fearsome villain, all spikes and wrought iron, locked in a perpetual battle with a virtuous knight. In truth, this feudal roleplaying is just that: a play! When not engaged in theatrical LARP-ing, Epic Clambles enjoy quiet time in the garden - though pruning the withering foliage on the scorching Earth Island has cursed this Epic with a blistering bouquet of claw boils.",1,3,9,Sir Raymond,2020,,0,
63,Epic Bowgart,https://mysingingmonsters.fandom.com/wiki/Epic_Bowgart,Plant&Cold&Gold&,All:Maw&All:Swurlee Tree&All:Piney Tree&All:Spatial Sapling&,"When a Common Bowgart favors standing in melted Ice Cream puddles over mud, the resulting sugar rush twists the instrumental Monster into an Epic! The composition of Epic Bowgart's horns is altered at a chemical level, growing into gnarled spires until they break off like peanut brittle. The ramifications of this Epic's sweet tooth (or should we say sweet teeth?) have even transformed its fur into a warm caramel hue, reminiscent of a pecan-butterscotch swirl.",2,3,9,Sir Raymond,2019,,0,
64,Epic T-Rox,https://mysingingmonsters.fandom.com/wiki/Epic_T-Rox,Plant&Air&Gold&,Plant Island:Punkleton&Air Island:Reebro&All:Innertuba&All:Smunkit&All:Elmenco Stump&,"Inspired by their Ethereal neighbors' impressive mech suits, a collection of clever Air Island T-Roxes put their heads together to build upon their own mechanical aspects. After much tinkering and occasional consultations with their brainy mentors, these tech-savvy T-Roxes crafted exoskeletons so advanced, they bonded with their organic components. The resulting cyborg is packed with exciting features: a scratch-resistant dome, built-in nightlights, and even a pair of foot-vacuums for tidying up after lunchtime.",2,3,7,Chorus Kids,2018,,0,
65,Rare Congle,https://mysingingmonsters.fandom.com/wiki/Rare_Congle,Cold&Air&Gold&Oasis&,All:Congle&All:Cozee Cabin&All:Tub Fountain&All:Pipes of Cicado&,"More so than any other Rare discovered to date, the Rare Congle is stupefyingly different from its Common counterpart. Though this Monster is hatched from the same egg, gone are the familiar eye-stalks, substituted for a great pompadour of fur and horned brows. And it's still unknown whether those are wings or just enormous ears.",2,3,7,Garfield,2014,,0,
66,Rare Pummel,https://mysingingmonsters.fandom.com/wiki/Rare_Pummel,Plant&Water&Gold&,All:Pummel&All:Pipes of Cicado&All:Bass String Bridge&All:Barbloo Statue&,"It's amazing what some extra appendages and fins can do! You wouldn't know it to look at it, but the Rare Pummel is exceptionally aerodynamic and uses its extra arms to perform spectacular acrobatic feats. In addition to its two dorsal fins, the tiny growths that cover its body are actually small 'drag-fins' that can open and close to help it maneuver while flipping and flopping about.",2,3,9,tofek.aram,2014,,0,
67,Rare Clamble,https://mysingingmonsters.fandom.com/wiki/Rare_Clamble,Plant&Earth&Gold&,All:Clamble&All:Crumpler Tree&All:Harpsitree&All:Piney Tree&,"The feathered Rare Clambles perceive themselves as the destined protectors of the Monster realm (although what the Monster realm needs protection from, no one is sure). They forge and fortify their cast-off plates into pieces of armor they don to appear more formidable. In truth, their bark is worse than their bite, and it could be that these Monsters just enjoy dressing up.",1,3,9,Jenni.althaus,2015,,0,
68,Rare Bowgart,https://mysingingmonsters.fandom.com/wiki/Rare_Bowgart,Plant&Cold&Gold&,All:Bowgart&All:Tree Hut&All:Castanevine&All:Squeed Statue&,"Although a Bowgart's elemental affinity is usually split evenly between Plant, Water and Cold, that of the Rare Bowgart heavily favors its chilliest ingredient. Overcoming the nervous nail and lip-biting habits of its Common cousin, this Monster allows its sickled toenails and arm horns to grow to full length. Others keep encouraging it to use its claws and take up tap-dancing to complement its fine bowing skills, but for now the Rare Bowgart is sticking to what it knows best.",2,3,9,benguyatt,2015,,0,
69,Rare T-Rox,https://mysingingmonsters.fandom.com/wiki/Rare_T-Rox,Plant&Air&Gold&,All:T-Rox&All:Saggle Tree&All:Fossil-osaurus&All:Yum Yum Tree&,"Hold on to your toes... the Rare T-Rox has survived. Previously believed to have disappeared ages ago, it resurfaced when a primordial goop was spilled onto a clutch of eggs. The purpose of its stubby forelimbs has been hotly debated, but clapping along can be safely ruled out. Nonetheless, this Rare is possessed of an indomitable spirit and always innovates shrewd beats with its reinforced jaws and paws. Clever Monster.",2,3,7,Jaynefir,2015,,0,
70,Congle,https://mysingingmonsters.fandom.com/wiki/Congle,Cold&Air&Colossingum&Gold&Oasis&Tribal&Composer&,Cold Island:Potbelly&Air Island:T-Rox&Fire Oasis:Boskus&All:Fossil-osaurus&All:Guitree&All:Meldablend&,"So that's what happens to the shells when Monsters hatch! Congles are great recyclers, and use a lot of drums. Eggshells can only stand so much pounding, after all.",2,3,7,The Handler-Helper Community,2012,,0,
71,Pummel,https://mysingingmonsters.fandom.com/wiki/Pummel,Plant&Water&Colossingum&Gold&Tribal&Composer&,Plant Island:Maw&Water Island:Toe Jammer&All:Fossil-osaurus&All:Flappy Flag&All:Fuzzle Tree&,"Aquatic Pummels are gill-breathers. They soak themselves regularly to suck in a fresh load of Water and seal their mouths with Plant membranes. Like Noggins, Pummels are closely in tune with the Earth.",2,3,9,The Handler-Helper Community,2012,,0,
72,Clamble,https://mysingingmonsters.fandom.com/wiki/Clamble,Plant&Earth&Colossingum&Gold&Tribal&Composer&,Plant Island:Oaktopus&Earth Island:Pango&All:Digger&All:Toob&All:Barbloo Statue&,"The vine-like Clamble protects its tender Plant head with flat metallic shells. As it grows, it saves the cast-off plates. While the element of Cold is in its family tree, the Clamble's green parts do not tolerate freezing.",1,3,9,The Handler-Helper Community,2012,,0,
73,Bowgart,https://mysingingmonsters.fandom.com/wiki/Bowgart,Plant&Cold&Colossingum&Gold&Tribal&Composer&,Plant Island:Shrubb&Cold Island:Tweedle&All:Travelers' Sign&All:Toob&All:Eerie Remains&,"The Bowgart loves to stand in puddles. It sucks a muddy mixture of Earth and Water through its feet to feed rapid horn growth. When shed, a horn will be strung and tuned, then replace the Bowgart's old instrument.",2,3,9,The Handler-Helper Community,2012,,0,
74,T-Rox,https://mysingingmonsters.fandom.com/wiki/T-Rox,Plant&Air&Colossingum&Gold&Tribal&Composer&,Plant Island:Potbelly&Air Island:Congle&All:Piney Tree&All:Bloofi Tree&All:Dragoon Statue&,"The T-Rox exudes enthusiasm and energy, displaying flashing spikelets and chomping jaws. Monsters with toes should steer well clear of the T-Rox.",2,3,7,The Handler-Helper Community,2012,,0,
75,Epic Shellbeat,https://mysingingmonsters.fandom.com/wiki/Epic_Shellbeat,Water&Gold&,All:Do&All:Boss Monument&All:Piney Tree&All:Star Rocks&,"Creatures from the deep are oft met by seafaring Monsters with apprehension, but the Epic Shellbeat swims against the current. This beat-keeping Epic is the sonic equivalent of a lighthouse in the dark, playing a reliable rhythm that guides disoriented vessels to the safety of the shore. When the living ocean beckons for a lifeguard, Epic Shellbeat is there!",3,4,9,Sir Raymond,2019,,0,All:Spunge*Cybop&
76,Epic Quarrister,https://mysingingmonsters.fandom.com/wiki/Epic_Quarrister,Earth&Gold&,All:Fossil-osaurus&All:Boss Monument&All:Bottomless Pit&All:Mount Knottshurr&,"Some Monsters age gracefully, while others age... like this. The seasoned Epic Quarrister has been one with the Earth for so long that vegetation has begun to take root within its weathered form, changing the landscape of this once-formidable golem forever. Ever the optimists, Epic Quarrister's heads can't help but smile at its new buttercup-yellow blooms and dignified Bawnzi Tree. Well, MOST of its heads.",3,4,9,Chris (#3),2019,,0,All:Clamble*Dandidoo&
77,Epic Deedge,https://mysingingmonsters.fandom.com/wiki/Epic_Deedge,Cold&Shugabush&Gold&,All:Quibble&All:Innertuba&All:Boss Monument&All:Barbloo Statue&,"Epic Deedges are born with their head in the clouds, but cranial implants help their intellect reach new heights! These computer-savvy cyclopes make a handy sidekick to any Monster seeking to spruce up a hunk o' junk. Epic Deedge's true passion lies in upgrading its sweet sound equipment with state-of-the-art Shuga Crystal technology, harvested from the sap of Shugabush Island Trees. Gritty Shuga Crystals amplify Barbloo-tooth connectivity at the cost of a few scuffed paws.",3,4,9,Stinky,2019,,0,
78,Epic Riff,https://mysingingmonsters.fandom.com/wiki/Epic_Riff,Air&Gold&,All:La&All:Boss Monument&All:Ambered Thing&All:Hammock&,"Epic Riff's ability to shred on its symbiotic instrument is so impressive, its instrument needs two necks! But wait - is this instrument even alive? Of course it is! The eyeless, noseless, mouthless, and otherwise faceless instrument may have sacrificed its expressive visage for an extra neck, but it is still capable of communicating with its winged pal via forceful strums and playful twangs.",3,4,7,Cyraxgreen #elkaiser,2019,,0,All:PomPom*Quibble&
79,Epic Entbrat,https://mysingingmonsters.fandom.com/wiki/Epic_Entbrat,Plant&Gold&,All:Boss Monument&All:Cozee Cabin&All:Spatial Sapling&All:The Thunker&,"Yikes! The Epic Entbrat is a truly terrifying sight for anyone familiar with its hearty Common cousin. No need for alarm, however - we can assure you that this Epic is in a perfectly healthy state. It may be pale, frail, and honestly a little creepy, but this is simply the appearance of a Monster that prefers the comforting darkness of a Cozee Cabin to the shining rays of the great outdoors.",3,4,9,mblase,2018,,0,All:T-Rox*Shrubb&
80,Rare Shellbeat,https://mysingingmonsters.fandom.com/wiki/Rare_Shellbeat,Water&Gold&,All:Shellbeat&All:Stritch Skin&All:Leafy Sea Dragon&All:Crumpler Tree&,"Finally - the Rare Shellbeat has been revealed! This especially bashful being only emerges once in a blue moon, so great care must be taken to make sure it feels welcome among its fellow Monsters. Once it's settled in a jam session, the Rare Shellbeat has been known to produce pearls of exceptional quality from its unique shell, which it gives away as presents! This curious Quad-Element often contemplates the nature of the Monster World, and the possibility of alternate universes. If it's learned anything, it has so far decided to keep the secrets to itself.",3,4,9,rachelGatlin,2015,,0,
81,Rare Quarrister,https://mysingingmonsters.fandom.com/wiki/Rare_Quarrister,Earth&Gold&,All:Quarrister&All:Castanevine&All:Squeed Statue&All:Tub Fountain&,"The Rare Quarrister's body is composed of many different types of minerals and is encrusted with unusual crystals normally found all over the multiverse. Even though its individual heads all have different origins, this Earth Boss rocks just as equally as the Common Monster. The Rare Quarrister proudly celebrates diversity and inclusion, and proves that putting heads together with positive energy can achieve great harmony.",3,4,9,Postal 2,2015,,0,
82,Rare Deedge,https://mysingingmonsters.fandom.com/wiki/Rare_Deedge,Cold&Shugabush&Gold&,All:Deedge&All:Dragon Tower&All:Flappy Flag&All:Stritch Skin&,"Rare Deedges are so handy! They've got a knack for invention, and relish every opportunity to take something apart and put it back together again in a completely different way. Miraculously, the objects they recraft still work, even after reassembly! Such is the case with their state-of-the-art gilded amp sets, which blast out beats just as well as Common Deedges' regular ice(boom)boxes. Just goes to show that there's more than one way to skin a Stritch.",3,4,9,NloveR914,2015,,0,
83,Rare Riff,https://mysingingmonsters.fandom.com/wiki/Rare_Riff,Air&Gold&,All:Riff&All:Piney Tree&All:Smunkin Patch&All:Fuzzle Tree&,"Found much less frequently than the common Riff, this Rare Monster nonetheless offers great insights into the habits and behaviours of this secretive species. For instance, it's now known that all Riffs share a symbiotic relationship with their guitars, which are actually living creatures as well! Riffs exchange the foods they collect with their toes for whispered messages of affirmation about their musical performances. Go team.",3,4,7,edvardine,2015,,0,
84,Rare Entbrat,https://mysingingmonsters.fandom.com/wiki/Rare_Entbrat,Plant&Gold&,All:Entbrat&All:Castanevine&All:Dragon Tower&All:Meldablend&,"As if Entbrats weren't impressive enough already! The Rare Entbrat sports vibrant autumnal foliage and eye-catching horn extensions. Reports suggest that this uncommon morph is at least marginally smarter than its regular counterpart, but don't hold your breath waiting for it to score well on any intelligence test.",3,4,9,NE LAiKAT,2014,,0,
85,Shellbeat,https://mysingingmonsters.fandom.com/wiki/Shellbeat,Water&Colossingum&Gold&Tribal&Composer&,All:Noggin&All:Yum Yum Tree&All:Puffle Tree&All:Dragon Tower&,"Shellbeats are naturally shy and like to keep hidden away in their shells. When they are woken up by their neighbors' loud singing they tend to loosen up, come out of their shell, and play along as best they can with their aquatic drum set. Shellbeats have gotten pretty good at playing lately.",3,4,9,The Handler-Helper Community,2012,,0,
86,Quarrister,https://mysingingmonsters.fandom.com/wiki/Quarrister,Earth&Colossingum&Gold&Tribal&Composer&,All:Mammott&All:Tree Hut&All:Bass String Bridge&All:Zuffle Tree&,"The first stage of the Quarrister's life cycle begins deep underground. Each head is a separate creature, feeding on crystals and fending for themselves. Eventually, groups of heads band together and harmonize their efforts until they physically fuse together. Every once in a while, one of the Quarrister's voices will go for a solo, but that kind of behavior is usually seen as big-headed.",3,4,9,The Handler-Helper Community,2012,,0,
87,Deedge,https://mysingingmonsters.fandom.com/wiki/Deedge,Cold&Shugabush&Colossingum&Gold&Tribal&Composer&,Shugabush Island:Shugabuzz&All:Leafy Sea Dragon&All:Zuffle Tree&All:Piney Tree&All:Squeed Statue&,"The Deedge, attuned to the beat of the Earth, pulls together multiple elements to produce a complex beat. A tireless, energetic performer, it keeps all the Monsters dancing.",3,4,9,The Handler-Helper Community,2012,,0,
88,Riff,https://mysingingmonsters.fandom.com/wiki/Riff,Air&Colossingum&Gold&Tribal&Composer&,All:Toe Jammer&All:Bass String Bridge&All:Leafy Sea Dragon&All:Crumpler Tree&,"Riffs are masterful musicians. Very little is known about these complex Monsters, but they do have some distinct and unusual habits. For example, Riffs use their flexible toes to select random objects from the ground which they inspect, then eat.",3,4,7,The Handler-Helper Community,2012,,0,
89,Entbrat,https://mysingingmonsters.fandom.com/wiki/Entbrat,Plant&Colossingum&Gold&Tribal&Composer&,All:Mammott&All:Flappy Flag&All:Guitree&All:Babayag Tower&,The complex combination of elements that produces an Entbrat results in a truly gentle giant. This massive Monster's great bellow vibrates the particles of the world from the clouds in the sky to the stones in the ground. Entbrats are not notably intelligent.,3,4,9,The Handler-Helper Community,2012,,0,
90,Epic Mimic,https://mysingingmonsters.fandom.com/wiki/Epic_Mimic,Oasis&,All:Fa&All:Wubbox Stockpile&All:Crumpler Tree&All:Inverdigus Fern&,"Pre-cataclysmic murals depict a guiding spirit, taking shape in the billowing clouds of an ancient mountain range. Alpine peaks stood as guideposts for migrating Monsters amidst dense mist and fog, and a cawing laugh would reverberate through the slopes to help orient travellers to safe passage. If one attempted to approach the source of the laugh, a 'luminous substance' would briefly flash, and then lighten to nothingness. Much later, this was determined to be none other than the Epic Mimic, using its evolutionary adaptations to protect itself and preserve a 'shroud of mystery.' Of course, the mocking mass of beak, talon and ocular oddity is by no means rarified Air; it is quite dense, and a bit of a goofball. Whatever inspired the Epic Air Top Boss to reveal itself and join its fellow Monsters in song, we may never know, but its mimicking affectations never fail to bring a smile, carried on the wind like voices bouncing off the walls of a mountain pass.",2,5,9,SugarLilyCat,2026,,0,All:Wynq*Glowl&
91,Rare Mimic,https://mysingingmonsters.fandom.com/wiki/Rare_Mimic,Oasis&,All:Mimic&All:Eerie Remains&All:Freed Thing&All:Shrini&,"Previously believed to have gone extinct, the Rare Mimic has made a miraculous return to the modern Monster World! Or has it? It's perplexing at best to attempt to classify the Air Quint's subspecies and variant forms, because of the Monster's ability to shapeshift to impersonate (imMonsterate?) others. Adding to the bafflement are recently-published scientific studies that purport that certain Monsters that have long been understood to be distinct species are actually just Mimics in disguise? Or maybe they decided to settle into a new form (and Class!) and stay that way forever? Even that part of the theory is convoluted. Rare Mimics are, at minimum, still identifiable as Mimics, even if some attributes have been tweaked.",2,5,9,,2025,,0,
92,Mimic,https://mysingingmonsters.fandom.com/wiki/Mimic,Oasis&,All:Gobbleygourd&All:Smunkit&All:Spurrit Statue&All:Mountain Morsel&,"Mimic?! What are you doing here? We now have substantial evidence that the shapeshifting Air Top Boss has been laying low in the Monster World ever since the Dawn of Fire, masquerading as its fellow Monsters. Previously, these imitations have extended only to appearance and sound, but now it seems like the Mimic is upping the ante and trying to pass itself off as a Relic-seeking Fire Monster. Those in the know are wise to its chicanery, but the rabble has been successfully duped - the trick has something to do with the mysterious atmosphere the Mimic can generate around itself, and the way light bends around it. That voice, though… there’s no mistaking that voice.",2,5,9,The Handler-Helper Community,2024,,0,
